ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,LCSC Assembly,,,,,,,,,,,
1,74HC14D,U4,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,74HC14D,653,Nexperia,LCSC,C5605,Yes,,,,,,,,,,
2,SB2P-HVQ-CA (LF)(SN),MOT5V,CHG,HDR-2X1/2.54,2,-,JST Sales America,LCSC,C157909,,,,,,,,,,,
3,Header-Male-2.54_1x4_C124378,BATTERY,HDR-TH_4P-P2.54-V,1,210S-1*4P L=11.6MMGold-plated black,Ckmtw,LCSC,C124378,,,,,,,,,,,,
4,TTGO_T_DISPLAY,U3,TTGO_T_DISPLAY,1,,,,,,,,,,,,,,,,
5,XH-5A,LEFT,RIGHT,XH-5A,2,XH-5A,BOOMELE,LCSC,C2318,,,,,,,,,,,
6,Z-211-0311-0021-001,PEN,HDR-3X1/2.54,1,Z-211-0311-0021-001,ZHENGLING,LCSC,C152153,,,,,,,,,,,,
7,K1-1506DN-01,SW1,K1-1506DN-01,1,K1-1506DN-01,HRO,LCSC,C145911,,,,,,,,,,,,
8,micro 5P180,CHARGE,MICRO-USB-TH_U-MICRS05P-BF00,1,micro 5P180,ValuePro,LCSC,C40941,,,,,,,,,,,,
9,4.7K,R14,R15,0603',2,0603WAF4701T5E,Uniroyal Elec,LCSC,C23162,,,,,,,,,,,
10,100nF,C10,C9,C8,C7,C6,C5,C1,C3,C4,0603',9,CC0603KRX7R9BB104,YAGEO,LCSC,C14663,,,,
11,MCP23017,U1,SOIC-28_L18.1-W10.3-P1.27-LS10.3-BL,1,MCP23017-E/SO,MICROCHIP,LCSC,C47023,,,,,,,,,,,,
12,TPS2069CDBVR,U5,U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,2,TPS2069CDBVR,Texas Instruments,LCSC,C181752,Yes,,,,,,,,,,
13,10K,R13,R8,R7,R6,R5,R2,R10,R11,R9,R4,R3,R12,0603',12,0603WAF1002T5E,UniOhm,LCSC,C25804,Yes
14,210S-2*6P L=11.6MMGold-plated black,PORTB,210S-2.54-2X6P,1,210S-2*6P L=11.6MMGold-plated black,Ckmtw,LCSC,C124388,,,,,,,,,,,,
15,470uF,C2,CAP-SMD_L7.3-W4.3,1,TAJD477K006RNJ,AVX,LCSC,C7229,Yes,,,,,,,,,,,
16,ULN2803A,U2,SOIC-18_300MIL,1,ULN2803ADWR,TI,LCSC,C9683,Yes,,,,,,,,,,,
17,220S-1*6P H=8.5MM Ytype Gold-plated,MH-CD42,DIP-1X6P2.54,1,220S-1*6P H=8.5MM Ytype Gold-plated,Ckmtw,LCSC,C124415,,,,,,,,,,,,
18,OS103011MS8QP1,SW2,OS103011MS8QP1,1,OS103011MS8QP1,C&K,LCSC,C221831,,,,,,,,,,,,
19,B5819W,D1,SOD-123_L2.8-W1.8-LS3.7-RD,1,B5819W,CJ,LCSC,C8598,Yes,,,,,,,,,,,
