Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
MOT5V,HDR-2X1/2.54,78.99mm,-10.92mm,78.99mm,-10.92mm,78.99mm,-9.65mm,T,0,SB2P-HVQ-CA (LF)(SN)
U4,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,70.61mm,-24.89mm,70.61mm,-24.89mm,67.51mm,-21.08mm,T,270,74HC14D
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,10.8mm,-29.97mm,10.8mm,-29.97mm,9.3mm,-29.02mm,T,180,TPS2069CDBVR
U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,10.8mm,-40.89mm,10.8mm,-40.89mm,9.3mm,-39.94mm,T,180,TPS2069CDBVR
C2,CAP-SMD_L7.3-W4.3,54.61mm,-11.94mm,54.61mm,-11.94mm,54.61mm,-8.22mm,T,90,470uF
D1,SOD-123_L2.8-W1.8-LS3.7-RD,16.51mm,-29.97mm,16.51mm,-29.97mm,16.51mm,-31.67mm,T,90,B5819W
CHG,HDR-2X1/2.54,9.14mm,-4.83mm,9.14mm,-4.83mm,9.14mm,-3.56mm,T,0,SB2P-HVQ-CA (LF)(SN)
CHARGE,MICRO-USB-TH_U-MICRS05P-BF00,3.81mm,-13.46mm,3.81mm,-13.46mm,4.31mm,-12.16mm,T,270,micro 5P180
SW2,OS103011MS8QP1,2.79mm,-30.23mm,2.79mm,-30.23mm,2.79mm,-24.13mm,T,90,OS103011MS8QP1
R13,0603',10.8mm,-33.78mm,10.8mm,-33.78mm,10.09mm,-33.78mm,T,0,10K
R12,0603',10.8mm,-24.89mm,10.79mm,-24.89mm,11.5mm,-24.89mm,T,180,10K
C9,0603',10.8mm,-22.61mm,10.8mm,-22.61mm,10.09mm,-22.61mm,T,0,100nF
C10,0603',10.8mm,-35.81mm,10.8mm,-35.81mm,10.09mm,-35.81mm,T,0,100nF
PORTB,210S-2.54-2X6P,43.26mm,-10.05mm,43.26mm,-10.05mm,44.53mm,-16.4mm,T,90,210S-2*6P L=11.6MMGold-plated black
U1,SOIC-28_L18.1-W10.3-P1.27-LS10.3-BL,28.7mm,-31.24mm,28.7mm,-31.24mm,23.64mm,-22.99mm,T,270,MCP23017
BATTERY,HDR-TH_4P-P2.54-V,32.77mm,-7.37mm,32.77mm,-7.37mm,32.77mm,-3.56mm,T,270,Header-Male-2.54_1x4_C124378
MH-CD42,DIP-1X6P2.54,14.48mm,-9.91mm,14.48mm,-9.91mm,14.48mm,-3.56mm,T,270,220S-1*6P H=8.5MM Ytype Gold-plated
U3,TTGO_T_DISPLAY,37.59mm,-31.24mm,51.56mm,-19.81mm,51.56mm,-19.81mm,T,270,TTGO_T_DISPLAY
SW1,K1-1506DN-01,70.1mm,-38.61mm,70.1mm,-38.61mm,65mm,-35.41mm,T,0,K1-1506DN-01
U2,SOIC-18_300MIL,44.96mm,-31.24mm,44.96mm,-31.24mm,39.76mm,-26.16mm,T,270,ULN2803A
PEN,HDR-3X1/2.54,54.61mm,-3.56mm,54.61mm,-3.56mm,52.07mm,-3.56mm,T,0,Z-211-0311-0021-001
R14,0603',17.02mm,-41.15mm,17.02mm,-41.15mm,17.02mm,-40.45mm,T,270,4.7K
R15,0603',19.56mm,-41.15mm,19.56mm,-41.15mm,19.56mm,-40.45mm,T,270,4.7K
R3,0603',62.8mm,-24.13mm,62.8mm,-24.13mm,62.1mm,-24.13mm,T,0,10K
R2,0603',62.74mm,-31.5mm,62.74mm,-31.5mm,62.04mm,-31.5mm,T,0,10K
C4,0603',80.77mm,-15.75mm,80.77mm,-15.75mm,80.07mm,-15.75mm,T,0,100nF
C3,0603',62.74mm,-19.05mm,62.74mm,-19.05mm,62.04mm,-19.05mm,T,0,100nF
C1,0603',62.74mm,-26.42mm,62.74mm,-26.42mm,62.04mm,-26.42mm,T,0,100nF
C5,0603',80.77mm,-23.62mm,80.77mm,-23.62mm,80.07mm,-23.62mm,T,0,100nF
C6,0603',80.77mm,-31.75mm,80.77mm,-31.75mm,80.07mm,-31.75mm,T,0,100nF
R4,0603',80.77mm,-20.83mm,80.77mm,-20.83mm,80.07mm,-20.83mm,T,0,10K
R5,0603',80.77mm,-28.7mm,80.77mm,-28.7mm,80.07mm,-28.7mm,T,0,10K
R6,0603',80.77mm,-36.83mm,80.77mm,-36.83mm,80.07mm,-36.83mm,T,0,10K
R7,0603',62.74mm,-28.96mm,62.74mm,-28.96mm,63.44mm,-28.96mm,T,180,10K
R9,0603',80.77mm,-18.29mm,80.77mm,-18.29mm,81.47mm,-18.29mm,T,180,10K
R10,0603',80.77mm,-26.16mm,80.77mm,-26.16mm,81.47mm,-26.16mm,T,180,10K
R11,0603',80.77mm,-34.29mm,80.77mm,-34.29mm,81.47mm,-34.29mm,T,180,10K
R8,0603',62.8mm,-21.59mm,62.8mm,-21.59mm,63.5mm,-21.59mm,T,180,10K
C7,0603',70.8mm,-30.73mm,70.8mm,-30.73mm,70.1mm,-30.73mm,T,0,100nF
C8,0603',20.07mm,-33.78mm,20.07mm,-33.78mm,20.07mm,-34.48mm,T,90,100nF
LEFT,XH-5A,65.02mm,-9.91mm,65.02mm,-9.91mm,65.02mm,-14.91mm,T,90,XH-5A
RIGHT,XH-5A,71.88mm,-9.91mm,71.88mm,-9.91mm,71.88mm,-14.91mm,T,90,XH-5A
